,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country
0,taltal,-25.4,-70.4833,66.43,71,8,3.51,CL
1,new norfolk,-42.7826,147.0587,68.0,77,75,10.36,AU
2,avarua,-21.2078,-159.775,86.0,66,20,10.36,CK
3,mar del plata,-38.0023,-57.5575,66.99,82,20,9.22,AR
4,ponta do sol,32.6667,-17.1,53.01,70,11,5.01,PT
5,rikitea,-23.1203,-134.9692,78.3,70,1,12.97,PF
6,port alfred,-33.5906,26.891,70.0,91,46,3.0,ZA
7,ushuaia,-54.8,-68.3,51.8,62,75,8.05,AR
8,sitka,57.0531,-135.33,39.2,70,90,9.22,US
9,luderitz,-26.6481,15.1594,65.7,71,0,13.29,NA
10,chokurdakh,70.6333,147.9167,-0.99,93,96,9.57,RU
11,ribeira grande,38.5167,-28.7,56.08,63,60,29.04,PT
12,kavaratti,10.5669,72.642,81.25,63,100,6.91,IN
13,busselton,-33.65,115.3333,66.0,53,0,1.01,AU
14,zhuhai,22.2769,113.5678,69.01,72,0,5.75,CN
15,ellenabad,29.45,74.65,54.72,59,31,5.64,IN
16,tasiilaq,65.6145,-37.6368,23.76,95,100,14.36,GL
17,king city,36.2127,-121.126,54.0,38,0,14.0,US
18,kolyvan,55.3053,82.7391,21.2,79,75,6.71,RU
19,mataura,-46.1927,168.8643,64.24,35,0,7.99,NZ
20,georgetown,5.4112,100.3354,80.01,69,20,4.61,MY
21,ahuimanu,21.4447,-157.8378,73.4,68,90,10.36,US
22,pati,-6.7559,111.038,77.79,87,100,6.96,ID
23,albany,42.6001,-73.9662,28.0,65,73,5.01,US
24,buala,-8.145,159.5921,80.62,77,100,6.93,SB
25,vostok,46.4856,135.8833,-16.08,87,100,5.44,RU
26,cape town,-33.9258,18.4232,68.0,77,20,12.66,ZA
27,port lincoln,-34.7333,135.8667,61.21,86,100,12.77,AU
28,hobart,-42.8794,147.3294,68.0,77,75,10.36,AU
29,miraflores,19.2167,-98.8083,75.2,11,1,5.75,MX
30,warrington,53.3925,-2.5802,42.8,93,75,8.05,GB
31,narsaq,60.9167,-46.05,12.2,57,98,4.61,GL
32,saint george,37.1041,-113.5841,61.0,29,1,12.66,US
33,bluff,-46.6,168.3333,56.68,61,0,21.14,NZ
34,vaini,-21.2,-175.2,84.2,84,75,8.05,TO
35,geraldton,-28.7667,114.6,75.2,53,75,29.93,AU
36,lufilufi,-13.8745,-171.5986,84.2,84,75,5.75,WS
37,la ligua,-32.4524,-71.2311,59.0,94,40,12.66,CL
38,san cristobal,7.7669,-72.225,67.91,75,29,1.61,VE
39,saint-philippe,-21.3585,55.7679,77.0,69,0,5.75,RE
40,tomatlan,19.9333,-105.25,70.95,78,0,3.65,MX
41,castro,-24.7911,-50.0119,69.13,90,100,4.03,BR
42,cortez,37.3489,-108.5859,53.6,37,90,14.97,US
43,marsa matruh,31.3525,27.2453,60.8,88,40,11.5,EG
44,chara,56.9064,118.2631,-26.7,66,33,0.25,RU
45,sakakah,29.9697,40.2064,64.4,39,75,13.8,SA
46,qaanaaq,77.484,-69.3632,-21.95,65,0,4.76,GL
47,fortuna,40.5982,-124.1573,48.99,71,1,10.36,US
48,hasaki,35.7333,140.8333,48.2,49,20,8.05,JP
49,rawson,-43.3002,-65.1023,74.12,43,16,12.28,AR
50,ucluelet,48.9329,-125.5528,45.0,87,90,7.4,CA
51,padang,-0.9492,100.3543,77.0,88,40,2.3,ID
52,cherskiy,68.75,161.3,7.47,80,88,8.61,RU
53,sao filipe,14.8961,-24.4956,71.55,78,71,9.4,CV
54,srednekolymsk,67.45,153.6833,-20.42,86,37,3.49,RU
55,kahului,20.8947,-156.47,69.8,73,75,18.41,US
56,saldanha,-33.0117,17.9442,62.6,82,0,5.75,ZA
57,kapaa,22.0752,-159.319,73.4,68,40,8.05,US
58,tuktoyaktuk,69.4541,-133.0374,-41.8,66,20,6.91,CA
59,butaritari,3.0707,172.7902,81.61,83,83,15.41,KI
60,yellowknife,62.456,-114.3525,-18.0,76,90,6.91,CA
61,sri aman,1.2376,111.4621,77.0,94,75,1.59,MY
62,sibolga,1.7427,98.7792,77.81,80,25,3.33,ID
63,batangafo,7.3008,18.2833,72.66,25,0,3.22,CF
64,hofn,64.2539,-15.2082,31.28,91,60,14.97,IS
65,plainview,40.7765,-73.4673,35.6,55,90,11.5,US
66,khandyga,62.6667,135.6,-49.83,74,25,0.67,RU
67,bengkulu,-3.8004,102.2655,78.58,81,100,4.56,ID
68,berlevag,70.8578,29.0864,29.1,96,100,22.44,NO
69,carnarvon,-24.8667,113.6333,80.6,100,90,27.63,AU
70,codrington,-38.2667,141.9667,78.82,35,100,10.76,AU
71,vardo,70.3705,31.1107,29.16,94,100,21.97,NO
72,karratha,-20.7377,116.8463,84.15,76,9,16.31,AU
73,ayagoz,47.9714,80.4392,18.91,97,99,10.31,KZ
74,hithadhoo,-0.6,73.0833,82.71,73,100,9.08,MV
75,pindushi,62.9152,34.58,11.88,96,100,9.93,RU
76,portland,45.5234,-122.6762,46.0,87,71,0.92,US
77,linkou,45.3,130.2833,-6.39,83,0,9.8,CN
78,jumla,29.2747,82.1838,29.57,74,0,4.12,NP
79,hamilton,39.1834,-84.5333,28.0,80,1,2.21,US
80,huescar,37.811,-2.5412,44.01,69,100,0.22,ES
81,kaitangata,-46.2817,169.8464,57.99,60,0,11.01,NZ
82,ostrovnoy,68.0531,39.5131,11.1,93,100,12.17,RU
83,krasnogorskoye,52.2953,86.1979,31.17,99,100,12.68,RU
84,faya,18.3851,42.4509,55.4,43,0,3.67,SA
85,lata,40.1629,-8.3327,53.01,91,100,3.76,PT
86,hilo,19.7297,-155.09,80.6,57,40,16.11,US
87,husavik,66.0449,-17.3389,19.4,68,0,3.44,IS
88,kruisfontein,-34.0033,24.7314,68.0,85,11,6.67,ZA
89,tromso,69.6496,18.957,30.2,80,75,11.5,NO
90,east london,-33.0153,27.9116,73.49,84,36,13.82,ZA
91,antequera,37.0194,-4.5612,57.99,94,0,6.91,ES
92,giulianova,42.7612,13.9537,45.0,93,100,1.14,IT
93,xanlar,40.5869,46.3158,39.2,81,40,6.91,AZ
94,wilmington,34.2257,-77.9447,42.01,47,0,3.0,US
95,nikolskoye,59.7035,30.7861,14.0,92,90,15.66,RU
96,ust-nera,64.5667,143.2,-16.76,80,100,4.41,RU
97,ibipeba,-11.6408,-42.0111,70.88,82,89,3.8,BR
98,inhambane,-23.865,35.3833,77.41,90,22,4.07,MZ
99,bandarbeyla,9.4942,50.8122,70.72,76,0,14.74,SO
100,victoria,22.2855,114.1577,66.0,63,0,1.01,HK
101,zhanaozen,43.3,52.8,40.12,76,89,5.3,KZ
102,miyako,39.6367,141.9525,30.31,88,96,9.26,JP
103,puerto ayora,-0.7393,-90.3518,77.0,95,13,1.01,EC
104,salta,-24.7859,-65.4117,60.8,94,75,5.75,AR
105,athabasca,54.7169,-113.2854,-5.8,77,68,5.75,CA
106,norman wells,65.282,-126.8329,-36.4,67,75,5.75,CA
107,port elizabeth,-33.918,25.5701,68.0,88,0,9.22,ZA
108,taranagar,28.6709,75.0351,59.4,57,30,0.85,IN
109,necochea,-38.5473,-58.7368,60.01,89,0,1.01,AR
110,pangnirtung,66.1451,-65.7125,-14.39,78,20,2.53,CA
111,kerchevskiy,59.946,56.2884,5.11,95,100,5.08,RU
112,racalmuto,37.4071,13.7338,46.99,93,0,1.52,IT
113,upernavik,72.7868,-56.1549,-15.32,70,0,5.39,GL
114,wadi musa,30.3222,35.4793,53.22,56,19,6.78,JO
115,george town,5.4112,100.3354,80.01,69,20,4.61,MY
116,bredasdorp,-34.5322,20.0403,60.8,88,95,4.61,ZA
117,fomboni,-12.28,43.7425,84.13,67,100,5.7,KM
118,kavieng,-2.5744,150.7967,85.23,66,43,6.51,PG
119,foshan,23.0268,113.1315,68.0,72,0,2.24,CN
120,hermanus,-34.4187,19.2345,60.01,93,66,1.01,ZA
121,emba,48.8264,58.1442,27.18,97,100,5.68,KZ
122,mahebourg,-20.4081,57.7,78.8,83,40,3.44,MU
123,patamundai,20.5667,86.5667,58.41,74,0,3.89,IN
124,souillac,-20.5167,57.5167,78.8,83,40,3.44,MU
125,yanam,16.7333,82.2167,68.0,88,20,5.75,IN
126,college,64.8569,-147.8028,-5.8,77,90,3.44,US
127,dyatkovo,53.5978,34.3382,32.63,99,100,4.72,RU
128,changji,44.0167,87.3167,15.8,86,93,4.47,CN
129,te anau,-45.4167,167.7167,63.88,44,6,1.19,NZ
130,barrow,71.2906,-156.7887,-25.6,68,1,13.8,US
131,beringovskiy,63.05,179.3167,3.31,93,100,16.67,RU
132,khatanga,71.9667,102.5,-15.32,88,56,12.46,RU
133,seminole,28.7086,-81.2081,48.99,43,1,8.05,US
134,skibbereen,51.55,-9.2667,46.4,81,75,19.57,IE
135,pevek,69.7008,170.3133,-5.62,73,0,10.38,RU
136,torbay,47.6666,-52.7314,48.2,100,90,19.57,CA
